date,machine_id,plan_min,run_min,downtime_min,downtime_reason,prod_qty,good_qty,energy_kWh,date_str,availability,downtime_rate,defect_qty,yield_rate,defect_rate,productivity_hourly,good_productivity_hourly,energy_per_good,month,machine_group,anomaly_low_availability,anomaly_high_defect,anomaly_high_energy,anomaly_high_downtime,has_anomaly,grade
2026-01-04,C-03,480,440,40,자재대기,868,806,286.7,2026-01-04,91.67,8.33,62,92.86,7.14,118.36,109.91,0.3557,2026-01,C,False,False,False,False,False,C
2026-01-04,B-02,480,444,36,품질조정,780,730,254.5,2026-01-04,92.5,7.5,50,93.59,6.41,105.41,98.65,0.3486,2026-01,B,False,False,False,False,False,C
2026-01-04,A-01,480,445,35,자재대기,777,770,266.4,2026-01-04,92.71,7.29,7,99.1,0.9,104.76,103.82,0.346,2026-01,A,False,False,False,False,False,B
2026-01-04,A-02,480,475,5,예방보전,875,838,282.5,2026-01-04,98.96,1.04,37,95.77,4.23,110.53,105.85,0.3371,2026-01,A,False,False,False,False,False,B
2026-01-04,B-03,480,403,77,금형교체,722,703,230.1,2026-01-04,83.96,16.04,19,97.37,2.63,107.49,104.67,0.3273,2026-01,B,False,False,False,False,False,D
2026-01-04,B-01,480,459,21,자재대기,833,822,274.7,2026-01-04,95.62,4.38,11,98.68,1.32,108.89,107.45,0.3342,2026-01,B,False,False,False,False,False,A
2026-01-04,A-03,480,450,30,자재대기,871,861,285.1,2026-01-04,93.75,6.25,10,98.85,1.15,116.13,114.8,0.3311,2026-01,A,False,False,False,False,False,A
2026-01-05,C-02,480,370,110,금형교체,723,664,248.8,2026-01-05,77.08,22.92,59,91.84,8.16,117.24,107.68,0.3747,2026-01,C,True,True,False,True,True,D
2026-01-05,D-03,480,437,43,자재대기,789,785,288.9,2026-01-05,91.04,8.96,4,99.49,0.51,108.33,107.78,0.368,2026-01,D,False,False,False,False,False,D
2026-01-05,D-02,480,417,63,자재대기,855,845,235.5,2026-01-05,86.88,13.12,10,98.83,1.17,123.02,121.58,0.2787,2026-01,D,False,False,False,False,False,C
2026-01-05,D-01,480,473,7,설비고장,830,786,267.4,2026-01-05,98.54,1.46,44,94.7,5.3,105.29,99.7,0.3402,2026-01,D,False,False,False,False,False,C
2026-01-05,C-03,480,402,78,자재대기,699,648,249.4,2026-01-05,83.75,16.25,51,92.7,7.3,104.33,96.72,0.3849,2026-01,C,False,False,False,False,False,D
2026-01-05,C-01,480,376,104,금형교체,733,700,239.9,2026-01-05,78.33,21.67,33,95.5,4.5,116.97,111.7,0.3427,2026-01,C,True,False,False,True,True,D
2026-01-05,B-03,480,434,46,예방보전,846,821,245.3,2026-01-05,90.42,9.58,25,97.04,2.96,116.96,113.5,0.2988,2026-01,B,False,False,False,False,False,B
2026-01-05,B-02,480,387,93,설비고장,692,658,234.8,2026-01-05,80.62,19.38,34,95.09,4.91,107.29,102.02,0.3568,2026-01,B,False,False,False,True,True,D
2026-01-05,B-01,480,429,51,자재대기,775,774,288.3,2026-01-05,89.38,10.62,1,99.87,0.13,108.39,108.25,0.3725,2026-01,B,False,False,False,False,False,D
2026-01-05,A-03,480,420,60,자재대기,810,779,262.2,2026-01-05,87.5,12.5,31,96.17,3.83,115.71,111.29,0.3366,2026-01,A,False,False,False,False,False,C
2026-01-05,A-02,480,421,59,자재대기,781,718,241.3,2026-01-05,87.71,12.29,63,91.93,8.07,111.31,102.33,0.3361,2026-01,A,False,True,False,False,True,D
2026-01-05,A-01,480,435,45,금형교체,742,720,282.4,2026-01-05,90.62,9.38,22,97.04,2.96,102.34,99.31,0.3922,2026-01,A,False,False,False,False,False,D
2026-01-06,D-02,480,480,0,정상가동,822,821,297.9,2026-01-06,100.0,0.0,1,99.88,0.12,102.75,102.62,0.3629,2026-01,D,False,False,False,False,False,D
2026-01-06,D-01,480,452,28,설비고장,836,814,276.2,2026-01-06,94.17,5.83,22,97.37,2.63,110.97,108.05,0.3393,2026-01,D,False,False,False,False,False,A
2026-01-06,C-03,480,374,106,설비고장,685,650,229.2,2026-01-06,77.92,22.08,35,94.89,5.11,109.89,104.28,0.3526,2026-01,C,True,False,False,True,True,D
2026-01-06,C-02,480,387,93,금형교체,803,739,246.7,2026-01-06,80.62,19.38,64,92.03,7.97,124.5,114.57,0.3338,2026-01,C,False,False,False,True,True,D
2026-01-06,C-01,480,365,115,금형교체,637,602,221.9,2026-01-06,76.04,23.96,35,94.51,5.49,104.71,98.96,0.3686,2026-01,C,True,False,False,True,True,D
2026-01-06,D-03,480,410,70,예방보전,750,735,253.0,2026-01-06,85.42,14.58,15,98.0,2.0,109.76,107.56,0.3442,2026-01,D,False,False,False,False,False,C
2026-01-06,B-03,480,436,44,자재대기,757,740,275.0,2026-01-06,90.83,9.17,17,97.75,2.25,104.17,101.83,0.3716,2026-01,B,False,False,False,False,False,D
2026-01-06,B-01,480,455,25,금형교체,939,933,306.1,2026-01-06,94.79,5.21,6,99.36,0.64,123.82,123.03,0.3281,2026-01,B,False,False,False,False,False,A
2026-01-06,A-03,480,445,35,자재대기,751,740,235.3,2026-01-06,92.71,7.29,11,98.54,1.46,101.26,99.78,0.318,2026-01,A,False,False,False,False,False,A
2026-01-06,A-02,480,402,78,예방보전,719,716,237.5,2026-01-06,83.75,16.25,3,99.58,0.42,107.31,106.87,0.3317,2026-01,A,False,False,False,False,False,D
2026-01-06,A-01,480,450,30,설비고장,834,825,264.8,2026-01-06,93.75,6.25,9,98.92,1.08,111.2,110.0,0.321,2026-01,A,False,False,False,False,False,A
2026-01-06,B-02,480,454,26,자재대기,771,748,264.0,2026-01-06,94.58,5.42,23,97.02,2.98,101.89,98.85,0.3529,2026-01,B,False,False,False,False,False,C
2026-01-07,D-03,480,433,47,품질조정,747,708,281.1,2026-01-07,90.21,9.79,39,94.78,5.22,103.51,98.11,0.397,2026-01,D,False,False,False,False,False,D
2026-01-07,D-02,480,480,0,정상가동,830,779,314.8,2026-01-07,100.0,0.0,51,93.86,6.14,103.75,97.38,0.4041,2026-01,D,False,False,False,False,False,D
2026-01-07,D-01,480,425,55,설비고장,812,780,277.0,2026-01-07,88.54,11.46,32,96.06,3.94,114.64,110.12,0.3551,2026-01,D,False,False,False,False,False,C
2026-01-07,C-03,480,430,50,예방보전,789,771,278.0,2026-01-07,89.58,10.42,18,97.72,2.28,110.09,107.58,0.3606,2026-01,C,False,False,False,False,False,D
2026-01-07,C-02,480,451,29,설비고장,661,614,342.3,2026-01-07,93.96,6.04,47,92.89,7.11,87.94,81.69,0.5575,2026-01,C,False,False,True,False,True,D
2026-01-07,C-01,480,383,97,설비고장,677,611,231.9,2026-01-07,79.79,20.21,66,90.25,9.75,106.06,95.72,0.3795,2026-01,C,True,True,False,True,True,D
2026-01-07,B-02,480,454,26,설비고장,747,722,263.5,2026-01-07,94.58,5.42,25,96.65,3.35,98.72,95.42,0.365,2026-01,B,False,False,False,False,False,D
2026-01-07,B-01,480,480,0,정상가동,828,824,322.8,2026-01-07,100.0,0.0,4,99.52,0.48,103.5,103.0,0.3917,2026-01,B,False,False,False,False,False,D
2026-01-07,A-03,480,443,37,자재대기,856,840,267.7,2026-01-07,92.29,7.71,16,98.13,1.87,115.94,113.77,0.3187,2026-01,A,False,False,False,False,False,A
2026-01-07,A-02,480,480,0,정상가동,863,807,274.2,2026-01-07,100.0,0.0,56,93.51,6.49,107.88,100.88,0.3398,2026-01,A,False,False,False,False,False,C
2026-01-07,A-01,480,422,58,자재대기,825,783,227.8,2026-01-07,87.92,12.08,42,94.91,5.09,117.3,111.33,0.2909,2026-01,A,False,False,False,False,False,C
2026-01-07,B-03,480,407,73,금형교체,756,730,257.0,2026-01-07,84.79,15.21,26,96.56,3.44,111.45,107.62,0.3521,2026-01,B,False,False,False,False,False,D
2026-01-08,C-02,480,375,105,금형교체,703,686,239.5,2026-01-08,78.12,21.88,17,97.58,2.42,112.48,109.76,0.3491,2026-01,C,True,False,False,True,True,D
2026-01-08,D-03,480,435,45,품질조정,763,738,287.0,2026-01-08,90.62,9.38,25,96.72,3.28,105.24,101.79,0.3889,2026-01,D,False,False,False,False,False,D
2026-01-08,D-02,480,430,50,자재대기,688,658,249.2,2026-01-08,89.58,10.42,30,95.64,4.36,96.0,91.81,0.3787,2026-01,D,False,False,False,False,False,D
2026-01-08,D-01,480,461,19,예방보전,896,889,282.2,2026-01-08,96.04,3.96,7,99.22,0.78,116.62,115.7,0.3174,2026-01,D,False,False,False,False,False,A
2026-01-08,C-03,480,393,87,설비고장,721,673,272.3,2026-01-08,81.88,18.12,48,93.34,6.66,110.08,102.75,0.4046,2026-01,C,False,False,False,False,False,D
2026-01-08,C-01,480,429,51,설비고장,656,610,263.1,2026-01-08,89.38,10.62,46,92.99,7.01,91.75,85.31,0.4313,2026-01,C,False,False,True,False,True,D
2026-01-08,A-03,480,462,18,품질조정,839,819,302.8,2026-01-08,96.25,3.75,20,97.62,2.38,108.96,106.36,0.3697,2026-01,A,False,False,False,False,False,D
2026-01-08,B-02,480,415,65,품질조정,778,771,262.4,2026-01-08,86.46,13.54,7,99.1,0.9,112.48,111.47,0.3403,2026-01,B,False,False,False,False,False,C
2026-01-08,B-01,480,416,64,품질조정,745,738,250.4,2026-01-08,86.67,13.33,7,99.06,0.94,107.45,106.44,0.3393,2026-01,B,False,False,False,False,False,C
2026-01-08,B-03,480,398,82,금형교체,725,688,240.0,2026-01-08,82.92,17.08,37,94.9,5.1,109.3,103.72,0.3488,2026-01,B,False,False,False,False,False,D
2026-01-08,A-02,480,448,32,예방보전,831,798,264.4,2026-01-08,93.33,6.67,33,96.03,3.97,111.29,106.88,0.3313,2026-01,A,False,False,False,False,False,B
2026-01-08,A-01,480,466,14,품질조정,870,869,309.7,2026-01-08,97.08,2.92,1,99.89,0.11,112.02,111.89,0.3564,2026-01,A,False,False,False,False,False,C
2026-01-09,D-02,480,417,63,품질조정,841,816,278.3,2026-01-09,86.88,13.12,25,97.03,2.97,121.01,117.41,0.3411,2026-01,D,False,False,False,False,False,C
2026-01-09,D-01,480,395,85,설비고장,723,701,254.5,2026-01-09,82.29,17.71,22,96.96,3.04,109.82,106.48,0.3631,2026-01,D,False,False,False,False,False,D
2026-01-09,C-03,480,404,76,설비고장,823,776,265.8,2026-01-09,84.17,15.83,47,94.29,5.71,122.23,115.25,0.3425,2026-01,C,False,False,False,False,False,D
2026-01-09,C-02,480,363,117,예방보전,648,608,217.6,2026-01-09,75.62,24.38,40,93.83,6.17,107.11,100.5,0.3579,2026-01,C,True,False,False,True,True,D
2026-01-09,C-01,480,374,106,품질조정,655,632,218.4,2026-01-09,77.92,22.08,23,96.49,3.51,105.08,101.39,0.3456,2026-01,C,True,False,False,True,True,D
2026-01-09,D-03,480,442,38,금형교체,862,844,288.2,2026-01-09,92.08,7.92,18,97.91,2.09,117.01,114.57,0.3415,2026-01,D,False,False,False,False,False,B
2026-01-09,B-02,480,420,60,설비고장,746,745,259.3,2026-01-09,87.5,12.5,1,99.87,0.13,106.57,106.43,0.3481,2026-01,B,False,False,False,False,False,C
2026-01-09,B-01,480,425,55,금형교체,816,795,243.8,2026-01-09,88.54,11.46,21,97.43,2.57,115.2,112.24,0.3067,2026-01,B,False,False,False,False,False,B
2026-01-09,A-03,480,445,35,품질조정,827,786,274.0,2026-01-09,92.71,7.29,41,95.04,4.96,111.51,105.98,0.3486,2026-01,A,False,False,False,False,False,B
2026-01-09,A-02,480,451,29,품질조정,696,678,240.9,2026-01-09,93.96,6.04,18,97.41,2.59,92.59,90.2,0.3553,2026-01,A,False,False,False,False,False,C
2026-01-09,A-01,480,437,43,설비고장,750,730,292.1,2026-01-09,91.04,8.96,20,97.33,2.67,102.97,100.23,0.4001,2026-01,A,False,False,False,False,False,D
2026-01-09,B-03,480,406,74,설비고장,673,636,265.5,2026-01-09,84.58,15.42,37,94.5,5.5,99.46,93.99,0.4175,2026-01,B,False,False,True,False,True,D
2026-01-10,D-03,480,471,9,설비고장,900,899,276.6,2026-01-10,98.12,1.88,1,99.89,0.11,114.65,114.52,0.3077,2026-01,D,False,False,False,False,False,A
2026-01-10,D-02,480,442,38,예방보전,792,775,252.8,2026-01-10,92.08,7.92,17,97.85,2.15,107.51,105.2,0.3262,2026-01,D,False,False,False,False,False,A
2026-01-10,D-01,480,473,7,예방보전,816,794,297.9,2026-01-10,98.54,1.46,22,97.3,2.7,103.51,100.72,0.3752,2026-01,D,False,False,False,False,False,D
2026-01-10,C-03,480,403,77,금형교체,748,694,213.3,2026-01-10,83.96,16.04,54,92.78,7.22,111.36,103.33,0.3073,2026-01,C,False,False,False,False,False,D
2026-01-10,C-02,480,428,52,자재대기,857,755,263.7,2026-01-10,89.17,10.83,102,88.1,11.9,120.14,105.84,0.3493,2026-01,C,False,True,False,False,True,D
2026-01-10,C-01,480,404,76,자재대기,718,674,245.9,2026-01-10,84.17,15.83,44,93.87,6.13,106.63,100.1,0.3648,2026-01,C,False,False,False,False,False,D
2026-01-10,B-03,480,419,61,금형교체,779,748,259.0,2026-01-10,87.29,12.71,31,96.02,3.98,111.55,107.11,0.3463,2026-01,B,False,False,False,False,False,C
2026-01-10,B-01,480,471,9,금형교체,883,856,346.3,2026-01-10,98.12,1.88,27,96.94,3.06,112.48,109.04,0.4046,2026-01,B,False,False,False,False,False,D
2026-01-10,A-03,480,467,13,품질조정,780,769,268.7,2026-01-10,97.29,2.71,11,98.59,1.41,100.21,98.8,0.3494,2026-01,A,False,False,False,False,False,B
2026-01-10,A-02,480,435,45,자재대기,827,826,242.7,2026-01-10,90.62,9.38,1,99.88,0.12,114.07,113.93,0.2938,2026-01,A,False,False,False,False,False,B
2026-01-10,A-01,480,450,30,예방보전,864,863,279.2,2026-01-10,93.75,6.25,1,99.88,0.12,115.2,115.07,0.3235,2026-01,A,False,False,False,False,False,A
2026-01-10,B-02,480,385,95,자재대기,708,663,216.0,2026-01-10,80.21,19.79,45,93.64,6.36,110.34,103.32,0.3258,2026-01,B,False,False,False,True,True,D
2026-01-11,C-02,480,376,104,금형교체,664,633,230.4,2026-01-11,78.33,21.67,31,95.33,4.67,105.96,101.01,0.364,2026-01,C,True,False,False,True,True,D
2026-01-11,D-02,480,419,61,예방보전,812,792,280.2,2026-01-11,87.29,12.71,20,97.54,2.46,116.28,113.41,0.3538,2026-01,D,False,False,False,False,False,C
2026-01-11,D-01,480,435,45,예방보전,768,763,264.8,2026-01-11,90.62,9.38,5,99.35,0.65,105.93,105.24,0.3471,2026-01,D,False,False,False,False,False,B
2026-01-11,C-03,480,460,20,자재대기,973,925,272.4,2026-01-11,95.83,4.17,48,95.07,4.93,126.91,120.65,0.2945,2026-01,C,False,False,False,False,False,B
2026-01-11,C-01,480,446,34,자재대기,894,839,274.6,2026-01-11,92.92,7.08,55,93.85,6.15,120.27,112.87,0.3273,2026-01,C,False,False,False,False,False,C
2026-01-11,D-03,480,465,15,품질조정,961,929,319.8,2026-01-11,96.88,3.12,32,96.67,3.33,124.0,119.87,0.3442,2026-01,D,False,False,False,False,False,B
2026-01-11,B-02,480,430,50,자재대기,768,759,233.8,2026-01-11,89.58,10.42,9,98.83,1.17,107.16,105.91,0.308,2026-01,B,False,False,False,False,False,B
2026-01-11,A-01,480,421,59,예방보전,770,763,286.7,2026-01-11,87.71,12.29,7,99.09,0.91,109.74,108.74,0.3758,2026-01,A,False,False,False,False,False,D
2026-01-11,A-02,480,459,21,예방보전,870,869,295.2,2026-01-11,95.62,4.38,1,99.89,0.11,113.73,113.59,0.3397,2026-01,A,False,False,False,False,False,A
2026-01-11,B-03,480,426,54,설비고장,704,681,212.1,2026-01-11,88.75,11.25,23,96.73,3.27,99.15,95.92,0.3115,2026-01,B,False,False,False,False,False,B
2026-01-11,B-01,480,462,18,품질조정,877,839,252.3,2026-01-11,96.25,3.75,38,95.67,4.33,113.9,108.96,0.3007,2026-01,B,False,False,False,False,False,B
2026-01-11,A-03,480,480,0,정상가동,852,832,326.0,2026-01-11,100.0,0.0,20,97.65,2.35,106.5,104.0,0.3918,2026-01,A,False,False,False,False,False,D
2026-01-12,D-03,480,397,83,품질조정,788,765,250.7,2026-01-12,82.71,17.29,23,97.08,2.92,119.09,115.62,0.3277,2026-01,D,False,False,False,False,False,D
2026-01-12,D-02,480,464,16,금형교체,807,772,295.4,2026-01-12,96.67,3.33,35,95.66,4.34,104.35,99.83,0.3826,2026-01,D,False,False,False,False,False,D
2026-01-12,D-01,480,441,39,품질조정,846,810,267.4,2026-01-12,91.88,8.12,36,95.74,4.26,115.1,110.2,0.3301,2026-01,D,False,False,False,False,False,B
2026-01-12,C-03,480,422,58,자재대기,771,729,281.6,2026-01-12,87.92,12.08,42,94.55,5.45,109.62,103.65,0.3863,2026-01,C,False,False,False,False,False,D
2026-01-12,C-01,480,347,133,품질조정,668,607,234.6,2026-01-12,72.29,27.71,61,90.87,9.13,115.5,104.96,0.3865,2026-01,C,True,True,False,True,True,D
2026-01-12,C-02,480,388,92,품질조정,654,571,252.4,2026-01-12,80.83,19.17,83,87.31,12.69,101.13,88.3,0.442,2026-01,C,False,True,True,True,True,D
2026-01-12,B-02,480,447,33,품질조정,902,887,294.3,2026-01-12,93.12,6.88,15,98.34,1.66,121.07,119.06,0.3318,2026-01,B,False,False,False,False,False,A
2026-01-12,B-01,480,428,52,금형교체,842,823,262.9,2026-01-12,89.17,10.83,19,97.74,2.26,118.04,115.37,0.3194,2026-01,B,False,False,False,False,False,B
2026-01-12,A-03,480,429,51,품질조정,768,733,297.1,2026-01-12,89.38,10.62,35,95.44,4.56,107.41,102.52,0.4053,2026-01,A,False,False,False,False,False,D
2026-01-12,A-02,480,470,10,품질조정,794,789,297.7,2026-01-12,97.92,2.08,5,99.37,0.63,101.36,100.72,0.3773,2026-01,A,False,False,False,False,False,D
2026-01-12,A-01,480,480,0,정상가동,957,946,336.1,2026-01-12,100.0,0.0,11,98.85,1.15,119.62,118.25,0.3553,2026-01,A,False,False,False,False,False,C
2026-01-12,B-03,480,373,107,설비고장,673,657,234.4,2026-01-12,77.71,22.29,16,97.62,2.38,108.26,105.68,0.3568,2026-01,B,True,False,False,True,True,D
2026-01-13,D-03,480,470,10,자재대기,882,844,281.7,2026-01-13,97.92,2.08,38,95.69,4.31,112.6,107.74,0.3338,2026-01,D,False,False,False,False,False,B
2026-01-13,D-02,480,430,50,설비고장,789,738,268.1,2026-01-13,89.58,10.42,51,93.54,6.46,110.09,102.98,0.3633,2026-01,D,False,False,False,False,False,D
2026-01-13,D-01,480,449,31,예방보전,857,852,272.3,2026-01-13,93.54,6.46,5,99.42,0.58,114.52,113.85,0.3196,2026-01,D,False,False,False,False,False,A
2026-01-13,C-03,480,402,78,설비고장,730,684,246.2,2026-01-13,83.75,16.25,46,93.7,6.3,108.96,102.09,0.3599,2026-01,C,False,False,False,False,False,D
2026-01-13,C-02,480,408,72,예방보전,766,712,261.1,2026-01-13,85.0,15.0,54,92.95,7.05,112.65,104.71,0.3667,2026-01,C,False,False,False,False,False,D
2026-01-13,C-01,480,411,69,품질조정,749,719,252.5,2026-01-13,85.62,14.37,30,95.99,4.01,109.34,104.96,0.3512,2026-01,C,False,False,False,False,False,C
2026-01-13,B-03,480,429,51,설비고장,724,723,271.1,2026-01-13,89.38,10.62,1,99.86,0.14,101.26,101.12,0.375,2026-01,B,False,False,False,False,False,D
2026-01-13,B-01,480,420,60,예방보전,794,774,266.2,2026-01-13,87.5,12.5,20,97.48,2.52,113.43,110.57,0.3439,2026-01,B,False,False,False,False,False,C
2026-01-13,A-03,480,417,63,예방보전,765,738,260.8,2026-01-13,86.88,13.12,27,96.47,3.53,110.07,106.19,0.3534,2026-01,A,False,False,False,False,False,C
2026-01-13,A-02,480,411,69,설비고장,713,688,234.1,2026-01-13,85.62,14.37,25,96.49,3.51,104.09,100.44,0.3403,2026-01,A,False,False,False,False,False,C
2026-01-13,A-01,480,434,46,예방보전,778,751,245.0,2026-01-13,90.42,9.58,27,96.53,3.47,107.56,103.82,0.3262,2026-01,A,False,False,False,False,False,B
2026-01-13,B-02,480,449,31,예방보전,833,802,267.9,2026-01-13,93.54,6.46,31,96.28,3.72,111.31,107.17,0.334,2026-01,B,False,False,False,False,False,B
2026-01-14,D-03,480,456,24,품질조정,835,805,279.2,2026-01-14,95.0,5.0,30,96.41,3.59,109.87,105.92,0.3468,2026-01,D,False,False,False,False,False,B
